name,rating_score,rating_count,pieces_sold,price
"Acer 27"" WQHD 2560 x 1440 1500R Curved PC Gaming Monitor | AMD FreeSync Premium | Up to 170Hz Refresh | 1ms VRB | VESA Mount | HDR10 | 1 x Display Port 1.2 & 2 x HDMI 2.0 | EDA270U Pbmiipx | Silver",4.6 out of 5 stars,"1,022",300+ bought in past month,$169.99
LG UltraWide QHD 34-Inch Computer Monitor 34WP65C-B,3.8 out of 5 stars,25,500+ bought in past month,$229.99
"acer Nitro 34"" UWQHD 3440 x 1440 1000R Curved PC Gaming Monitor | Adaptive-Sync Support (FreeSync Compatible) | 100Hz Refresh | 1ms VRB | AdobeRGB 90% | 2 x DP 1.2 & 2 x HDMI 2.0 | EDA343CUR Hbmiippx",4.4 out of 5 stars,479,500+ bought in past month,$169.99
"ARZOPA 17.3"" Portable Monitor",4.3 out of 5 stars,"2,524",300+ bought in past month,$367.22
CRUA 30Inch Ultrawide Curved Monitor,4.5 out of 5 stars,237,300+ bought in past month,$399.99
memzuoix 34-Inch Ultrawide Curved Gaming Monitor,4.5 out of 5 stars,242,500+ bought in past month,$209.99
KTC 32 Inch 2K Computer Monitor,4.7 out of 5 stars,"7,433",500+ bought in past month,$279.99
"ASUS VG248QG 24"" G-SYNC Gaming Monitor 165Hz 1080p 0.5ms Eye Care with DP HDMI DVI",4.6 out of 5 stars,"21,190",1K+ bought in past month,$139.99
SAMSUNG 23.5” CF396 Curved Computer Monitor,4.5 out of 5 stars,"5,340",500+ bought in past month,$189.99
Sceptre IPS 24” Gaming Monitor 165Hz 144Hz Full HD (1920 x 1080) FreeSync Eye Care FPS RTS DisplayPort HDMI Build-in Speakers,4.3 out of 5 stars,"1,829",1K+ bought in past month,$159.99
ASUS TUF Gaming VG289Q1A 28” Monitor,4.4 out of 5 stars,"2,525",500+ bought in past month,$179.99
"Yodoit Portable Monitor for Laptop 1920×1080 15.6"" FHD Travel Monitor Screen IPS Display with USB Type C Port and Speakers with Smart Cover Metal Monitor Compatible with PC",4.6 out of 5 stars,"2,737",400+ bought in past month,$269.99
ASUS ProArt Display PA278QV 27” WQHD (2560 x 1440) Monitor,4.4 out of 5 stars,"1,311",500+ bought in past month,$299.99
LG 32UR500K-B Ultrafine 32-inch 4K UHD (3840x2160) Computer Monitor HDR10 Built-in Speaker x2 OnScreen Control Reader Mode Flicker Safe Borderless Design HDMIx2 DisplayPort Black,4.3 out of 5 stars,144,500+ bought in past month,$199.99
"Acer Nitro 27"" Full HD 1920 x 1080 PC Gaming IPS Monitor | AMD FreeSync Premium | 180Hz Refresh | Up to 0.5ms | HDR10 Support | 99% sRGB | 1 x Display Port 1.2 & 2 x HDMI 2.0 | KG271 M3biip",4.6 out of 5 stars,"5,623",500+ bought in past month,$149.00
"ASUS TUF Gaming 27"" 2K HDR Gaming Monitor (VG27AQ) - QHD (2560 x 1440)",4.8 out of 5 stars,307,500+ bought in past month,$169.00
VisionOwl Large Portable Monitor-18.5 Inch Computer Gaming Display 100Hz 120% sRGB FHD 1080P USB-C HDMI IPS Screen for Laptop Mac Surface PC PS4/PS5 Xbox with Kickstand VESA Mountable Speakers,4.6 out of 5 stars,"3,083",500+ bought in past month,$99.99
ASUS TUF Gaming 27” 1440P HDR Monitor (VG27AQ3A) – QHD (2560 x 1440),4.2 out of 5 stars,428,200+ bought in past month,$139.99
HONGO Portable Monitor 15.6'' 1080P FHD USB-C Portable Laptop Monitors Smart Cover & Dual Speaker,4.3 out of 5 stars,116,,$129.97
27 inch Gaming Monitor,4.7 out of 5 stars,4,,$222.00
Intehill Portable Monitor Touchscreen,4.4 out of 5 stars,744,,$69.99
CRUA 27 Inch Gaming Monitor,,,,$249.00
SANSUI 24 Inch 100Hz FHD Monitor,4.4 out of 5 stars,775,100+ bought in past month,$94.99
34 Inch Ultrawide Curved Gaming Monitor,4.3 out of 5 stars,"1,427",50+ bought in past month,$269.99
32 Inch Computer Monitor,4.7 out of 5 stars,235,400+ bought in past month,$149.99
"15.6"" Triple Laptop Screen Extender | FHD 1080P IPS Laptop Monitor Extender | Detachable Screen Travel Monitor Laptops with Speakers | Plug&Play | Compatible with Mac/Android/Win",4.6 out of 5 stars,"2,886",500+ bought in past month,$399.99
